TABLE NO.  1
 DV          PRED        RES         WRES
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2989E+00  2.3741E+00 -7.5163E-02 -2.8509E-01
  3.6637E+00  3.5242E+00  1.3948E-01  1.1247E-01
  3.7790E+00  3.9243E+00 -1.4532E-01 -1.8704E-01
  3.3448E+00  3.3290E+00  1.5830E-02  1.5318E-01
  2.1306E+00  2.5561E+00 -4.2550E-01 -6.7665E-01
  1.1193E+00  1.3636E+00 -2.4427E-01 -4.5085E-01
  5.8962E-01  7.3718E-01 -1.4756E-01 -3.7642E-01
  3.5705E-01  4.4833E-01 -9.1280E-02 -4.4429E-01
  3.1820E-01  3.2092E-01 -2.7250E-03  3.6852E-01
  2.8447E-01  2.1194E-01  7.2531E-02  1.6749E+00
  1.6668E-01  1.9414E-01 -2.7456E-02 -7.0570E-01
  1.5920E-01  1.7822E-01 -1.9021E-02 -3.8284E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8583E+00  2.2981E+00 -4.3980E-01 -5.9582E-01
  3.8373E+00  3.4049E+00  4.3240E-01  7.5762E-01
  4.1650E+00  3.7752E+00  3.8982E-01  4.6519E-01
  3.5877E+00  3.1866E+00  4.0110E-01  3.4133E-01
  3.2379E+00  2.4328E+00  8.0506E-01  1.1654E+00
  1.8812E+00  1.2798E+00  6.0140E-01  1.1666E+00
  9.9414E-01  6.8015E-01  3.1399E-01  6.3107E-01
  5.6515E-01  4.0641E-01  1.5874E-01  3.6489E-01
  4.0539E-01  2.8693E-01  1.1846E-01  1.1014E+00
  1.5758E-01  1.8647E-01 -2.8894E-02 -5.6914E-01
  1.2113E-01  1.7007E-01 -4.8941E-02 -1.5382E+00
  1.0112E-01  1.5544E-01 -5.4324E-02 -2.1767E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4228E+00  2.8835E+00  5.3933E-01 -7.9458E-02
  5.0488E+00  4.1859E+00  8.6288E-01  2.9846E-01
  4.3972E+00  4.4493E+00 -5.2074E-02 -4.1438E-01
  3.6975E+00  3.5983E+00  9.9230E-02  1.9966E-01
  1.8819E+00  2.6368E+00 -7.5493E-01 -1.1706E+00
  8.5591E-01  1.3048E+00 -4.4890E-01 -9.5711E-01
  6.8940E-01  6.9285E-01 -3.4490E-03  5.3977E-01
  5.1615E-01  4.4645E-01  6.9697E-02  4.5116E-01
  4.2591E-01  3.5122E-01  7.4695E-02 -1.9308E-01
  4.6443E-01  2.7237E-01  1.9206E-01  1.6602E+00
  3.7436E-01  2.4668E-01  1.2768E-01  9.2900E-01
  3.3875E-01  2.2350E-01  1.1525E-01  1.1806E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.2250E+00  4.6143E+00 -1.3893E+00 -7.3971E-01
  6.0741E+00  6.8164E+00 -7.4232E-01  5.7248E-03
  7.0605E+00  7.5099E+00 -4.4936E-01  4.6607E-02
  5.9287E+00  6.2957E+00 -3.6699E-01 -1.1494E-01
  4.2626E+00  4.7719E+00 -5.0929E-01 -5.0767E-01
  2.1335E+00  2.4740E+00 -3.4049E-01 -7.3737E-01
  1.2397E+00  1.2994E+00 -5.9682E-02 -2.0732E-01
  8.6181E-01  7.7252E-01  8.9290E-02  6.8976E-01
  4.9753E-01  5.4664E-01 -4.9107E-02 -4.1863E-01
  3.4739E-01  3.6014E-01 -1.2753E-02 -1.9666E-01
  3.9699E-01  3.2753E-01  6.9464E-02  1.1873E+00
  3.3053E-01  2.9840E-01  3.2135E-02  7.6162E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3342E+00  3.4711E+00 -2.1369E+00 -3.3560E-01
  2.7373E+00  5.3277E+00 -2.5904E+00 -3.4894E-01
  3.9215E+00  6.3774E+00 -2.4559E+00 -7.6074E-01
  3.2949E+00  5.8521E+00 -2.5572E+00 -1.7647E+00
  4.2202E+00  4.8820E+00 -6.6180E-01 -5.7435E-01
  3.4182E+00  3.0761E+00  3.4205E-01  3.2401E-01
  1.4141E+00  1.9073E+00 -4.9316E-01 -1.6067E+00
  1.2257E+00  1.2419E+00 -1.6209E-02  1.3520E-01
  9.2274E-01  8.7759E-01  4.5150E-02  9.9449E-01
  2.9918E-01  4.3999E-01 -1.4081E-01  3.4632E-02
  2.1358E-01  3.9445E-01 -1.8087E-01 -5.7868E-01
  2.5519E-01  3.6060E-01 -1.0541E-01  4.0501E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4103E+00  4.4485E+00 -2.0382E+00 -6.0848E-01
  4.8789E+00  6.6849E+00 -1.8060E+00 -1.3725E-01
  6.1838E+00  7.6481E+00 -1.4643E+00 -3.6123E-01
  6.5327E+00  6.6904E+00 -1.5769E-01  2.9879E-02
  5.0667E+00  5.3174E+00 -2.5069E-01 -5.6632E-01
